_id,AnimalID,AnimalName,AnimalType,PrimaryColor,SecondaryColor,PrimaryBreed,Sex,DOB,Age,IntakeDate,IntakeCondition,IntakeType,IntakeSubtype,IntakeReason,OutcomeDate,OutcomeType,OutcomeSubtype,OutcomeCondition,Crossing,Jurisdiction,LastUpdate
3854,A1312048,STOP SIGN,CAT,BLACK,WHITE,DOMESTIC SH,NEUTERED,7/24/23,11 MONTHS,9/4/23,MED R,STRAY,OTC,,9/15/23,ADOPTION,WALK IN,HEALTHY,FLANIGAN DR/FONTANE RD,SAN JOSE,9/15/23
3855,A1312048,STOP SIGN,CAT,BLACK,WHITE,DOMESTIC SH,NEUTERED,7/24/23,11 MONTHS,8/12/23,MED R,STRAY,OTC,,8/21/23,FOSTER,,NURSING,FLANIGAN DR/FONTANE RD,SAN JOSE,9/4/23
3856,A1312050,STOP LIGHT,CAT,BLACK,WHITE,DOMESTIC SH,NEUTERED,7/17/23,11 MONTHS,8/12/23,MED R,STRAY,OTC,,8/21/23,FOSTER,,NURSING,FLANIGAN DR/FONTANE RD,SAN JOSE,9/4/23
3857,A1312050,STOP LIGHT,CAT,BLACK,WHITE,DOMESTIC SH,NEUTERED,7/17/23,11 MONTHS,9/4/23,MED R,STRAY,OTC,,9/23/23,ADOPTION,WALK IN,HEALTHY,FLANIGAN DR/FONTANE RD,SAN JOSE,9/23/23
3858,A1312051,DEBBIE,DOG,BROWN,,CHIHUAHUA SH,NEUTERED,8/15/21,2 YEARS,8/12/23,MED M,STRAY,FIELD,,8/12/23,TRANSFER,MEDVET,MED R,S PARK VICTORIA,MILPITAS,8/13/23
3859,A1312051,DEBBIE,DOG,BROWN,,CHIHUAHUA SH,NEUTERED,8/15/21,2 YEARS,8/12/23,MED M,STRAY,MEDVET,,9/13/23,ADOPTION,WALK IN,HEALTHY,S PARK VICTORIA,MILPITAS,9/13/23
3860,A1312052,MILA,CAT,BLACK,WHITE,DOMESTIC SH,SPAYED,7/19/23,11 MONTHS,8/12/23,MED R,STRAY,OTC,,8/21/23,FOSTER,,NURSING,FLANIGAN DR/FONTANE RD,SAN JOSE,9/4/23
3861,A1312052,MILA,CAT,BLACK,WHITE,DOMESTIC SH,SPAYED,7/19/23,11 MONTHS,9/4/23,MED R,STRAY,OTC,,9/24/23,ADOPTION,WALK IN,HEALTHY,,SAN JOSE,9/24/23
3862,A1312055,EILAN,CAT,BLACK,WHITE,DOMESTIC SH,NEUTERED,7/17/23,11 MONTHS,9/4/23,MED R,STRAY,OTC,,9/16/23,ADOPTION,WALK IN,HEALTHY,FLANIGAN DR/FONTANE RD,SAN JOSE,9/16/23
3863,A1312055,EILAN,CAT,BLACK,WHITE,DOMESTIC SH,NEUTERED,7/17/23,11 MONTHS,8/12/23,MED R,STRAY,OTC,,8/21/23,FOSTER,,NURSING,FLANIGAN DR/FONTANE RD,SAN JOSE,9/4/23
3864,A1312055,EILAN,CAT,BLACK,WHITE,DOMESTIC SH,NEUTERED,7/17/23,11 MONTHS,12/9/23,HEALTHY,OWNER SUR,OTC,,12/14/23,ADOPTION,,HEALTHY,,SAN JOSE,12/14/23
3865,A1312056,,CAT,BLACK,,DOMESTIC SH,NEUTERED,4/17/23,1 YEAR 2 MONTHS,8/12/23,FERAL,S/N CLINIC,,,8/16/23,RTF,,FERAL,,,8/17/23
3866,A1312058,,CAT,BLACK,,DOMESTIC SH,SPAYED,8/17/22,1 YEAR 10 MONTHS,8/12/23,FERAL,S/N CLINIC,,,8/17/23,RTF,,FERAL,,,8/17/23
3867,A1312063,,CAT,TABBY-BRN,,DOMESTIC SH,UNKNOWN,,NO AGE,8/12/23,MED SEV,STRAY,OTC,,8/12/23,EUTH,U MED SEV,MED SEV,S JACKSON AVE,SAN JOSE,8/12/23
3868,A1312076,CHAI,CAT,TABBY-GRAY,WHITE,DOMESTIC SH,NEUTERED,7/6/23,11 MONTHS,8/12/23,MED R,STRAY,OTC,,8/14/23,FOSTER,,MED R,PAYNE AVE,SAN JOSE,8/14/23
3869,A1312076,CHAI,CAT,TABBY-GRAY,WHITE,DOMESTIC SH,NEUTERED,7/6/23,11 MONTHS,8/31/23,MED R,FOSTER,,,8/31/23,FOSTER,,MED R,PAYNE AVE,SAN JOSE,8/31/23
3870,A1312076,CHAI,CAT,TABBY-GRAY,WHITE,DOMESTIC SH,NEUTERED,7/6/23,11 MONTHS,8/20/23,MED R,STRAY,OTC,,8/26/23,FOSTER,,MED R,PAYNE AVE,SAN JOSE,8/26/23
3871,A1312076,CHAI,CAT,TABBY-GRAY,WHITE,DOMESTIC SH,NEUTERED,7/6/23,11 MONTHS,9/20/23,HEALTHY,FOSTER,,,9/27/23,ADOPTION,WALK IN,,,,9/27/23
3872,A1312076,CHAI,CAT,TABBY-GRAY,WHITE,DOMESTIC SH,NEUTERED,7/6/23,11 MONTHS,9/20/23,HEALTHY,OWNER SUR,,,12/22/23,ADOPTION,WALK IN,,,SAN JOSE,12/22/23
3873,A1312091,,DOG,WHITE,TAN,BULL TERRIER,MALE,,NO AGE,8/12/23,MED M,STRAY,FIELD,,8/12/23,RTO,FIELD,HEALTHY,COYOTE ST / REDWOOD AVE,MILPITAS,8/12/23
3874,A1312095,,CAT,TORTIE-DIL,,DOMESTIC SH,UNKNOWN,,NO AGE,8/12/23,HEALTHY,STRAY,FOUND,,11/12/23,FOUND ANIM,KEEP,HEALTHY,N 20TH ST/ E TAYLOR ST,SAN JOSE,11/12/23
3875,A1312100,LUNA,DOG,BLACK,,PIT BULL,SPAYED,2/12/23,1 YEAR 4 MONTHS,8/30/23,MED SEV,STRAY,FIELD,,10/11/23,ADOPTION,WALK IN,MED SEV,LITTLE ORCHARD ST / TULLY RD,SAN JOSE,10/11/23
3876,A1312101,LOUIE,DOG,BLACK,,LABRADOR RETR,NEUTERED,2/12/23,1 YEAR 4 MONTHS,8/30/23,MED SEV,STRAY,FIELD,,10/12/23,ADOPTION,WALK IN,HEALTHY,LITTLE ORCHARD ST / TULLY RD,SAN JOSE,10/14/23
3877,A1312107,SANDY,DOG,BLACK,BROWN,CHIHUAHUA SH,SPAYED,8/29/13,10 YEARS,8/12/23,MED M,STRAY,FIELD,,10/3/23,FOSTER,,MED M,OPAL DR X NEAL AVE,SAN JOSE,10/3/23
3878,A1312107,SANDY,DOG,BLACK,BROWN,CHIHUAHUA SH,SPAYED,8/29/13,10 YEARS,10/27/23,MED M,FOSTER,,,12/5/23,ADOPTION,,,,SAN JOSE,12/5/23
3879,A1312126,,CAT,WHITE,BLACK,DOMESTIC MH,UNKNOWN,,NO AGE,8/12/23,DEAD,DISPO REQ,FIELD,,8/12/23,DISPOSAL,,DEAD,1700 BLK YOSEMITE DR,MILPITAS,8/12/23
3880,A1312133,CANDY CORN,CAT,TORBI-BRN,,DOMESTIC SH,SPAYED,8/13/23,10 MONTHS,8/12/23,NURSING,STRAY,OTC,,8/17/23,FOSTER,,MED R,SALMON DR,SAN JOSE,8/17/23
3881,A1312133,CANDY CORN,CAT,TORBI-BRN,,DOMESTIC SH,SPAYED,8/13/23,10 MONTHS,8/19/23,NURSING,FOSTER,,,8/23/23,FOSTER,,NURSING,RETURN FROM OVERNIGHT FOSTER,SAN JOSE,8/23/23
3882,A1312133,CANDY CORN,CAT,TORBI-BRN,,DOMESTIC SH,SPAYED,8/13/23,10 MONTHS,10/3/23,HEALTHY,FOSTER,,,10/5/23,ADOPTION,WALK IN,HEALTHY,,SAN JOSE,10/5/23
3883,A1312139,,CAT,TABBY-BRN,,DOMESTIC SH,NEUTERED,,NO AGE,8/12/23,MED R,STRAY,OTC,,8/19/23,RTF,,FERAL,N 9TH ST,SAN JOSE,8/19/23
3884,A1312142,,CAT,BLACK,WHITE,DOMESTIC SH,FEMALE,,NO AGE,8/12/23,MED SEV,STRAY,FIELD,,8/12/23,EUTH,U MED SEV,MED SEV,1100 BLK LANCELOT LN,SAN JOSE,8/16/23
3885,A1312143,,CAT,ORANGE,,DOMESTIC SH,MALE,,NO AGE,8/13/23,DEAD,DISPO REQ,,,8/13/23,DISPOSAL,,DEAD,,,8/13/23
3886,A1312147,WIDOW,DOG,BLACK,,PIT BULL,FEMALE,8/13/21,2 YEARS,8/13/23,HEALTHY,STRAY,OTC,,8/13/23,RTO,MICROCHIP,HEALTHY,KING ROAD / TULLY ROAD,SAN JOSE,8/13/23
3887,A1312148,,DOG,WHITE,,CHIHUAHUA SH,MALE,,NO AGE,8/13/23,MED SEV,STRAY,OTC,,8/13/23,RTO,,MED SEV,MONTEREY RD/UMBARGER,SAN JOSE,8/13/23
3888,A1312149,KURT RUSSELL,CAT,BLACK,,DOMESTIC MH,NEUTERED,6/13/23,1 YEAR,8/13/23,MED M,STRAY,OTC,,9/1/23,ADOPTION,,HEALTHY,WABASH ST/SPRECKLES AVE,SAN JOSE,9/1/23
3889,A1312151,UNI,CAT,ORANGE,,DOMESTIC SH,NEUTERED,4/13/23,1 YEAR 2 MONTHS,8/13/23,MED M,STRAY,OTC,,10/15/23,ADOPTION,WALK IN,MED M,CUERTON PL / E HILLS DR,SAN JOSE,10/24/23
3890,A1312153,MAXY,DOG,BLACK,TRICOLOR,CAIRN TERRIER,FEMALE,8/14/08,15 YEARS,8/13/23,MED M,STRAY,FIELD,,8/14/23,RTO,WEBSITE,,S. WHITE RD X STORY RD,SAN JOSE,8/14/23
3891,A1312155,,CAT,TABBY-BRN,,DOMESTIC SH,UNKNOWN,,NO AGE,8/13/23,DEAD,DISPO REQ,OTC,,8/13/23,DISPOSAL,,DEAD,YOSEMITE DR,SAN JOSE,8/13/23
3892,A1312156,,CAT,BLACK,,DOMESTIC SH,NEUTERED,,NO AGE,8/15/23,FERAL,S/N CLINIC,,,8/17/23,RTF,,FERAL,,SAN JOSE,8/22/23
3893,A1312157,,CAT,BLACK,,DOMESTIC SH,SPAYED,,NO AGE,8/15/23,FERAL,S/N CLINIC,,,8/17/23,RTF,,FERAL,,SAN JOSE,8/22/23
3894,A1312158,,CAT,TABBY-BRN,,DOMESTIC SH,NEUTERED,,NO AGE,8/15/23,FERAL,S/N CLINIC,,,8/17/23,RTF,,FERAL,,SAN JOSE,8/23/23
3895,A1312159,,CAT,TABBY-BRN,,DOMESTIC SH,NEUTERED,,NO AGE,8/15/23,FERAL,S/N CLINIC,,,8/17/23,RTF,,FERAL,,SAN JOSE,8/22/23
3896,A1312160,,CAT,BLACK,,DOMESTIC SH,SPAYED,,NO AGE,8/15/23,FERAL,S/N CLINIC,,,8/17/23,RTF,,FERAL,,SAN JOSE,8/22/23
3897,A1312161,,CAT,BLACK,,DOMESTIC SH,SPAYED,,NO AGE,8/15/23,FERAL,S/N CLINIC,,,8/17/23,RTF,,FERAL,,SAN JOSE,8/22/23
3898,A1312162,,CAT,TABBY-BRN,,DOMESTIC SH,SPAYED,,NO AGE,8/15/23,FERAL,S/N CLINIC,,,8/17/23,RTF,,FERAL,,SAN JOSE,8/22/23
3899,A1312164,MUSHU,CAT,TABBY-ORG,WHITE,DOMESTIC SH,NEUTERED,3/13/22,2 YEARS,8/13/23,HEALTHY,STRAY,OTC,,9/17/23,ADOPTION,WALK IN,HEALTHY,VIA MONTE DR/ALMADEN EXPY,SAN JOSE,9/17/23
3900,A1312165,,CAT,TABBY-BRN,,DOMESTIC SH,SPAYED,,NO AGE,8/15/23,FERAL,S/N CLINIC,,,8/17/23,RTF,,FERAL,,SAN JOSE,8/22/23
3901,A1312166,,CAT,TABBY-BRN,,DOMESTIC SH,SPAYED,,NO AGE,8/15/23,FERAL,S/N CLINIC,,,8/17/23,RTF,,FERAL,,SAN JOSE,8/22/23
3902,A1312167,,CAT,TABBY-BRN,,DOMESTIC SH,SPAYED,,NO AGE,8/15/23,FERAL,S/N CLINIC,,,8/17/23,RTF,,FERAL,,SAN JOSE,8/17/23
3903,A1312168,,CAT,BLACK,,DOMESTIC SH,NEUTERED,,NO AGE,8/15/23,FERAL,S/N CLINIC,,,8/17/23,RTF,,FERAL,,SAN JOSE,8/22/23
3904,A1312169,,CAT,BLACK,,DOMESTIC SH,SPAYED,,NO AGE,8/15/23,FERAL,S/N CLINIC,,,8/17/23,RTF,,FERAL,,SAN JOSE,8/22/23
3905,A1312170,,CAT,TABBY-BRN,,DOMESTIC SH,SPAYED,,NO AGE,8/15/23,FERAL,S/N CLINIC,,,8/17/23,RTF,,FERAL,,SAN JOSE,8/22/23
3906,A1312171,,CAT,TABBY-BRN,,DOMESTIC SH,NEUTERED,,NO AGE,8/15/23,FERAL,S/N CLINIC,,,8/17/23,RTF,,FERAL,,SAN JOSE,8/22/23
3907,A1312172,,CAT,BLACK,,DOMESTIC SH,NEUTERED,,NO AGE,8/15/23,FERAL,S/N CLINIC,,,8/17/23,RTF,,FERAL,,SAN JOSE,8/22/23
3908,A1312173,,CAT,BLACK,,DOMESTIC SH,SPAYED,,NO AGE,8/15/23,FERAL,S/N CLINIC,,,8/17/23,RTF,,FERAL,,SAN JOSE,8/22/23
3909,A1312174,,CAT,TABBY-BRN,,DOMESTIC SH,NEUTERED,,NO AGE,8/15/23,FERAL,S/N CLINIC,,,8/17/23,RTF,,FERAL,,SAN JOSE,8/22/23
3910,A1312175,,CAT,TABBY-BRN,,DOMESTIC SH,SPAYED,,NO AGE,8/15/23,FERAL,S/N CLINIC,,,8/17/23,RTF,,FERAL,,SAN JOSE,8/22/23
3911,A1312176,,CAT,TABBY-BRN,,DOMESTIC SH,SPAYED,,NO AGE,8/15/23,FERAL,S/N CLINIC,,,8/17/23,RTF,,FERAL,,SAN JOSE,8/22/23
3912,A1312177,,CAT,TABBY-BRN,,DOMESTIC SH,NEUTERED,,NO AGE,8/15/23,FERAL,S/N CLINIC,,,8/17/23,RTF,,FERAL,,SAN JOSE,8/22/23
3913,A1312178,COCO,CAT,BLACK,,DOMESTIC SH,NEUTERED,7/13/23,11 MONTHS,8/13/23,HEALTHY,STRAY,OTC,,8/23/23,FOSTER,,HEALTHY,CAPITOL EXPY/MCLAUGHLIN AVE,SAN JOSE,8/23/23
3914,A1312178,COCO,CAT,BLACK,,DOMESTIC SH,NEUTERED,7/13/23,11 MONTHS,9/15/23,HEALTHY,FOSTER,,,9/17/23,ADOPTION,WALK IN,HEALTHY,CAPITOL EXPY/MCLAUGHLIN AVE,SAN JOSE,9/17/23
3915,A1312179,BLUE,CAT,BLACK,WHITE,DOMESTIC SH,NEUTERED,7/13/23,11 MONTHS,9/15/23,HEALTHY,FOSTER,,,9/17/23,ADOPTION,WALK IN,HEALTHY,CAPITOL EXPY/MCLAUGHLIN AVE,SAN JOSE,9/17/23
3916,A1312179,BLUE,CAT,BLACK,WHITE,DOMESTIC SH,NEUTERED,7/13/23,11 MONTHS,8/13/23,HEALTHY,STRAY,OTC,,8/23/23,FOSTER,,HEALTHY,CAPITOL EXPY/MCLAUGHLIN AVE,SAN JOSE,8/23/23
3917,A1312180,MANHATTAN,CAT,BLACK,WHITE,DOMESTIC SH,NEUTERED,7/13/23,11 MONTHS,8/13/23,HEALTHY,STRAY,OTC,,8/23/23,FOSTER,,HEALTHY,CAPITOL EXPY/MCLAUGHLIN AVE,SAN JOSE,8/23/23
3918,A1312180,MANHATTAN,CAT,BLACK,WHITE,DOMESTIC SH,NEUTERED,7/13/23,11 MONTHS,9/5/23,HEALTHY,FOSTER,,,9/6/23,ADOPTION,WALK IN,HEALTHY,CAPITOL EXPY/MCLAUGHLIN AVE,SAN JOSE,9/6/23
3919,A1312181,BAMBI,CAT,CALICO-DIL,BLACK,DOMESTIC SH,SPAYED,7/13/23,11 MONTHS,8/23/23,HEALTHY,FOSTER,,,8/26/23,FOSTER,,HEALTHY,CAPITOL EXPY/MCLAUGHLIN AVE,SAN JOSE,9/6/23
3920,A1312181,BAMBI,CAT,CALICO-DIL,BLACK,DOMESTIC SH,SPAYED,7/13/23,11 MONTHS,9/15/23,HEALTHY,FOSTER,,,9/17/23,ADOPTION,WALK IN,HEALTHY,CAPITOL EXPY/MCLAUGHLIN AVE,SAN JOSE,9/17/23
3921,A1312181,BAMBI,CAT,CALICO-DIL,BLACK,DOMESTIC SH,SPAYED,7/13/23,11 MONTHS,8/13/23,HEALTHY,STRAY,OTC,,8/17/23,FOSTER,,HEALTHY,CAPITOL EXPY/MCLAUGHLIN AVE,SAN JOSE,8/23/23
3922,A1312182,SKIPPY,DOG,TAN,,CHIHUAHUA SH,NEUTERED,8/13/20,3 YEARS,8/13/23,HEALTHY,STRAY,OTC,,8/18/23,RTO,WALK IN,HEALTHY,SENTER RD/CAPITOL EXPY,SAN JOSE,8/18/23
3923,A1312183,JJ,DOG,BROWN,BLACK,YORKSHIRE TERR,MALE,8/13/22,1 YEAR 10 MONTHS,8/13/23,HEALTHY,STRAY,OTC,,8/13/23,RTO,WALK IN,HEALTHY,SNELL AVE/SUGAR MAPLE DR,SAN JOSE,8/13/23
3924,A1312184,,DOG,FAWN,,CHIHUAHUA SH,UNKNOWN,,NO AGE,8/13/23,DEAD,STRAY,OTC,,8/13/23,DISPOSAL,,DEAD,LANAI/FOLEY,SAN JOSE,8/13/23
3925,A1312185,CHOCOLATE,CAT,BLACK,,DOMESTIC SH,NEUTERED,7/13/23,11 MONTHS,8/13/23,HEALTHY,STRAY,OTC,,8/23/23,FOSTER,,HEALTHY,CAPITOL EXPY/MCLAUGHLIN AVE,SAN JOSE,8/23/23
3926,A1312185,CHOCOLATE,CAT,BLACK,,DOMESTIC SH,NEUTERED,7/13/23,11 MONTHS,9/5/23,HEALTHY,FOSTER,,,9/10/23,ADOPTION,WALK IN,HEALTHY,CAPITOL EXPY/MCLAUGHLIN AVE,SAN JOSE,9/10/23
3927,A1312186,,BIRD,GRAY,,PIGEON,UNKNOWN,,NO AGE,8/13/23,MED R,WILDLIFE,MEDVET,,8/14/23,DIED,IN KENNEL,DEAD,UNKNOWN LOCATION,SAN JOSE,8/14/23
3928,A1312187,PUMPKIN,CAT,TORTIE-B\O,,DOMESTIC SH,SPAYED,5/14/23,1 YEAR 1 MONTH,8/13/23,MED M,STRAY,MEDVET,,9/30/23,ADOPTION,WALK IN,HEALTHY,FERRARI AVE X JUAN AVE,SAN JOSE,9/30/23
3929,A1312188,,CAT,TORTIE-B\O,,DOMESTIC SH,FEMALE,,NO AGE,8/13/23,MED M,STRAY,MEDVET,,8/14/23,FOSTER,,MED M,2900 BLOCK CATALDI DR,SAN JOSE,8/21/23
3930,A1312188,,CAT,TORTIE-B\O,,DOMESTIC SH,FEMALE,,NO AGE,8/14/23,MED EMERG,FOSTER,,,8/14/23,EUTH,U MED EMRG,MED SEV,1600 BLK SWEETBRIAR,SAN JOSE,8/23/23
3931,A1312193,,OTHER,BROWN,,TORTOISE,FEMALE,,NO AGE,8/13/23,HEALTHY,STRAY,OTC,,8/20/23,TRANSFER,COUNTY,HEALTHY,RUBINO DR/FOXWORTHY AVE,SAN JOSE,8/26/23
3932,A1312196,,CAT,BLACK,WHITE,DOMESTIC MH,FEMALE,,NO AGE,8/13/23,DEAD,DISPO REQ,OTC,,8/13/23,DISPOSAL,,DEAD,DONDERO WAY / SOLANO DRIVE,SAN JOSE,8/13/23
3933,A1312197,ZELDA,CAT,BLACK,,DOMESTIC SH,SPAYED,6/14/23,1 YEAR,8/13/23,HEALTHY,STRAY,OTC,,8/23/23,ADOPTION,WALK IN,HEALTHY,BURKE ST/SENTER RD,SAN JOSE,8/23/23
3934,A1312198,URSULA,DOG,GRAY,,PIT BULL,SPAYED,8/13/21,2 YEARS,8/13/23,HEALTHY,STRAY,OTC,,8/29/23,ADOPTION,WALK IN,HEALTHY,SNELL AVE/HILLCAP DR,SAN JOSE,8/29/23
3935,A1312199,,DOG,BROWN,BLACK,BELG MALINOIS,NEUTERED,6/13/23,1 YEAR,8/13/23,HEALTHY,STRAY,OTC,,8/24/23,ADOPTION,WALK IN,HEALTHY,SNELL AVE/HILLCAP DR,SAN JOSE,8/24/23
3936,A1312200,,DOG,WHITE,,PIT BULL,FEMALE,,NO AGE,8/13/23,HEALTHY,STRAY,OTC,,8/29/23,FOUND ANIM,RTO,HEALTHY,CAYUGA DRIVE / HOPI CIRCLE,SAN JOSE,8/29/23
3937,A1312202,,CAT,GRAY,,DOMESTIC SH,UNKNOWN,8/8/23,7 WEEKS,8/13/23,NURSING,STRAY,OTC,,8/15/23,DIED,IN KENNEL,NURSING,,SAN JOSE,9/28/23
3938,A1312203,,CAT,BLACK,,DOMESTIC SH,FEMALE,8/8/23,12 WEEKS,8/13/23,NURSING,STRAY,OTC,,8/20/23,DIED,IN KENNEL,MED SEV,,SAN JOSE,10/30/23
3939,A1312204,,CAT,GRAY,,DOMESTIC SH,FEMALE,8/8/23,8 WEEKS,8/13/23,NURSING,STRAY,OTC,,8/20/23,DIED,IN KENNEL,NURSING,,SAN JOSE,10/5/23
3940,A1312205,DELLA,CAT,TABBY-BRN,,DOMESTIC SH,SPAYED,8/15/21,2 YEARS,8/13/23,MED R,STRAY,OTC,,2/15/24,RESCUE,13 STREET,MED R,UMBARGER DR/MONTEREY GWY,SAN JOSE,5/7/24
3941,A1312206,,CAT,TORBI-BRN,,DOMESTIC SH,FEMALE,8/8/23,8 WEEKS,8/13/23,NURSING,STRAY,OTC,,8/20/23,DIED,IN KENNEL,NURSING,,SAN JOSE,10/5/23
3942,A1312207,COBWEB,CAT,GRAY,,DOMESTIC SH,NEUTERED,8/8/23,10 MONTHS,8/13/23,NURSING,STRAY,OTC,,8/23/23,FOSTER,,NURSING,,SAN JOSE,8/23/23
3943,A1312207,COBWEB,CAT,GRAY,,DOMESTIC SH,NEUTERED,8/8/23,10 MONTHS,10/3/23,HEALTHY,FOSTER,,,10/5/23,ADOPTION,WALK IN,HEALTHY,,SAN JOSE,10/5/23
3944,A1312208,,CAT,BLACK,,DOMESTIC SH,MALE,8/8/23,1 WEEKS,8/13/23,NURSING,STRAY,OTC,,8/16/23,DIED,IN KENNEL,NURSING,,SAN JOSE,8/16/23
3945,A1312210,KAYA,DOG,GRAY,WHITE,SIBERIAN HUSKY,SPAYED,,NO AGE,8/13/23,MED M,CONFISCATE,POLICE,,8/14/23,RTO,WALK IN,HEALTHY,,SAN JOSE,8/15/23
3946,A1312211,,CAT,GRAY,,DOMESTIC SH,NEUTERED,8/15/21,2 YEARS,8/13/23,MED R,STRAY,OTC,,8/15/23,RTF,,FERAL,MONTAGUE EXPY/MILPITAS BLVD,SAN JOSE,8/15/23
3947,A1312213,,OTHER,GRAY,BLACK,RACCOON,UNKNOWN,,NO AGE,8/13/23,DEAD,DISPO REQ,OTC,,8/13/23,DISPOSAL,,DEAD,,SAN JOSE,8/13/23
3948,A1312214,,OTHER,GRAY,BLACK,RACCOON,UNKNOWN,,NO AGE,8/13/23,DEAD,DISPO REQ,OTC,,8/13/23,DISPOSAL,,DEAD,BLOSSOM HILL RD/BELGATOS RD,SAN JOSE,8/13/23
3949,A1312215,MOXIE,DOG,BRINDLE-TN,WHITE,BOXER,NEUTERED,8/13/15,8 YEARS,8/13/23,MED R,STRAY,OTC,IP ADOPT,9/20/23,RESCUE,SEQUOIA-HS,HEALTHY,STORY RD/KING RD,SAN JOSE,9/20/23
3950,A1312217,,BIRD,BROWN,,DOVE,UNKNOWN,,NO AGE,8/13/23,MED R,WILDLIFE,OTC,,8/14/23,DIED,IN KENNEL,DEAD,LOS GATOS CREEK TRAIL,SAN JOSE,8/14/23
3951,A1312219,KENZO,DOG,BLACK,WHITE,SIBERIAN HUSKY,MALE,8/13/14,9 YEARS,8/13/23,MED M,STRAY,FIELD,,10/5/23,TRANSFER,HSSV,MED M,ALMADEN X WILLOW,SAN JOSE,10/6/23
3952,A1312225,MICKEY,DOG,BROWN,WHITE,BEAGLE,MALE,8/19/20,3 YEARS,8/14/23,HEALTHY,STRAY,OTC,,10/3/23,RESCUE,WAGNTRAILS,,WAYCROSS ROAD / ALVERNAZ DRIVE,SAN JOSE,10/3/23
3953,A1312226,,DOG,BRINDLE-BN,,PIT BULL,FEMALE,6/14/23,1 YEAR,8/14/23,HEALTHY,STRAY,OTC,,8/18/23,RTO,,HEALTHY,SARATOGA AVE X SARATOGA AVE,SAN JOSE,8/18/23
3954,A1312227,,CAT,WHITE,TABBY-BRN,DOMESTIC SH,FEMALE,,NO AGE,8/14/23,MED SEV,STRAY,OTC,,8/14/23,EUTH,U MED SEV,MED SEV,UMBARGER / SENTER ROAD,SAN JOSE,8/30/23
3955,A1312228,,OTHER,WHITE,,OPOSSUM,UNKNOWN,,NO AGE,8/14/23,MED SEV,WILDLIFE,FIELD,,8/14/23,TRANSFER,WILDLIFE,MED SEV,WHITESAND DR/ HERITAGE ESTATES DR,SAN JOSE,8/14/23
3956,A1312246,,OTHER,WHITE,,OPOSSUM,UNKNOWN,,NO AGE,8/14/23,DEAD,DISPO REQ,FIELD,,8/14/23,DISPOSAL,,DEAD,1100 BLK MOON CT,MILPITAS,8/14/23
3957,A1312247,LUNA,DOG,BROWN,WHITE,CHIHUAHUA LH,FEMALE,8/14/12,11 YEARS,8/14/23,MED SEV,STRAY,OTC,,8/14/23,RTO,WALK IN,HEALTHY,2200 BLOCK DOBERN AVE X KAMMERER AVE,SAN JOSE,8/14/23
3958,A1312248,,OTHER,WHITE,,OPOSSUM,UNKNOWN,,NO AGE,8/14/23,DEAD,DISPO REQ,FIELD,,8/14/23,DISPOSAL,,DEAD,500 BLK N PARK VICTORIA,MILPITAS,8/14/23
3959,A1312249,,CAT,CALICO-TRI,,DOMESTIC MH,FEMALE,,NO AGE,8/14/23,MED SEV,STRAY,OTC,,8/14/23,EUTH,U MED SEV,MED SEV,"0 BLOCK FLOYD ST, SAN JOSE CA 95110",SAN JOSE,8/14/23
3960,A1312251,NATHANAEL,CAT,BLACK,WHITE,DOMESTIC SH,NEUTERED,8/16/23,10 MONTHS,8/14/23,HEALTHY,STRAY,OTC,,8/29/23,FOSTER,,NURSING,UNKNOWN,SAN JOSE,8/29/23
3961,A1312251,NATHANAEL,CAT,BLACK,WHITE,DOMESTIC SH,NEUTERED,8/16/23,10 MONTHS,9/3/23,HEALTHY,FOSTER,,,11/9/23,ADOPTION,WALK IN,HEALTHY,UNKNOWN,SAN JOSE,11/9/23
3962,A1312252,MITTENS,CAT,BLACK,WHITE,DOMESTIC SH,NEUTERED,8/16/23,10 MONTHS,8/31/23,HEALTHY,FOSTER,,,11/13/23,ADOPTION,WALK IN,HEALTHY,UNKNOWN,SAN JOSE,11/13/23
3963,A1312252,MITTENS,CAT,BLACK,WHITE,DOMESTIC SH,NEUTERED,8/16/23,10 MONTHS,8/14/23,HEALTHY,STRAY,OTC,,8/28/23,FOSTER,,NURSING,UNKNOWN,SAN JOSE,8/28/23
3964,A1312253,,CAT,BLACK,,DOMESTIC SH,UNKNOWN,7/30/23,10 WEEKS,8/14/23,HEALTHY,STRAY,OTC,,8/28/23,FOSTER,,NURSING,UNKNOWN,SAN JOSE,8/28/23
3965,A1312253,,CAT,BLACK,,DOMESTIC SH,UNKNOWN,7/30/23,10 WEEKS,8/31/23,HEALTHY,FOSTER,,,9/15/23,DIED,IN KENNEL,MED EMERG,UNKNOWN,SAN JOSE,10/8/23
3966,A1312254,,CAT,TABBY-BRN,,DOMESTIC SH,UNKNOWN,7/30/23,7 WEEKS,8/31/23,HEALTHY,FOSTER,,,9/19/23,DIED,U PANLEUK,MED SEV,UNKNOWN,SAN JOSE,9/19/23
3967,A1312254,,CAT,TABBY-BRN,,DOMESTIC SH,UNKNOWN,7/30/23,7 WEEKS,8/14/23,HEALTHY,STRAY,OTC,,8/28/23,FOSTER,,NURSING,UNKNOWN,SAN JOSE,8/28/23
